author,title,link
"Dickens, Charles",Great Expectations,https://www.gutenberg.org/files/1400/1400-0.txt
"Dickens, Charles",Bleak House,https://www.gutenberg.org/cache/epub/1023/pg1023.txt
"Dickens, Charles",David Copperfield,https://www.gutenberg.org/files/766/766-0.txt
"Dickens, Charles",A Tale of Two Cities,https://www.gutenberg.org/files/98/98-0.txt
"Dickens, Charles",Oliver Twist,https://www.gutenberg.org/cache/epub/730/pg730.txt
"Austen, Jane",Pride and Prejudice,https://www.gutenberg.org/files/1342/1342-0.txt
"Austen, Jane",Sense and Sensibility,https://www.gutenberg.org/cache/epub/161/pg161.txt
"Austen, Jane",Northanger Abbey,https://www.gutenberg.org/files/121/121-0.txt
"Austen, Jane",Persuasion,https://www.gutenberg.org/cache/epub/105/pg105.txt
"Austen, Jane",Mansfield Park,https://www.gutenberg.org/files/141/141-0.txt
"Austen, Jane",Emma,https://www.gutenberg.org/files/158/158-0.txt
"Austen, Jane",Lady Susan,https://www.gutenberg.org/cache/epub/946/pg946.txt
"Stowe, Harriett Beecher",Uncle Tom's Cabin,https://www.gutenberg.org/files/203/203-0.txt
"Stowe, Harriett Beecher",The Minister's Wooing,https://www.gutenberg.org/files/47958/47958-0.txt
"Stowe, Harriett Beecher",The Pearl of Orr's Island: A Story of the Coast of Maine,https://www.gutenberg.org/cache/epub/31522/pg31522.txt
"Stowe, Harriett Beecher",Palmetto Leaves,https://www.gutenberg.org/cache/epub/39972/pg39972.txt
"Stowe, Harriett Beecher",Dred: A Tale of the Great Dismal Swamp,https://www.gutenberg.org/cache/epub/55012/pg55012.txt
"Twain, Mark",The Adventures of Tom Sawyer,https://www.gutenberg.org/files/74/74-0.txt
"Twain, Mark",Adventures of Huckleberry Finn,https://www.gutenberg.org/files/76/76-0.txt
"Twain, Mark",Life on the Mississippi,https://www.gutenberg.org/files/245/245-0.txt
"Twain, Mark",The Innocents Abroad,https://www.gutenberg.org/files/3176/3176-0.txt
"Twain, Mark",The Gilded Age,https://www.gutenberg.org/files/3178/3178-0.txt
"Dostoyevsky, Fyodor",Crime and Punishment,https://www.gutenberg.org/files/2554/2554-0.txt
"Dostoyevsky, Fyodor",The Brothers Karamazov,https://www.gutenberg.org/files/28054/28054-0.txt
"Dostoyevsky, Fyodor",The Idiot,https://www.gutenberg.org/files/2638/2638-0.txt
"Dostoyevsky, Fyodor",Poor Folk,https://www.gutenberg.org/files/2302/2302-0.txt
"Dostoyevsky, Fyodor",Notes from Underground,https://www.gutenberg.org/cache/epub/600/pg600.txt
"Christie, Agatha",The Man in the Brown Suit,https://www.gutenberg.org/files/61168/61168-0.txt
"Christie, Agatha",The Murder on the Links,https://www.gutenberg.org/files/58866/58866-0.txt
"Christie, Agatha",The Mysterious Affair at Styles,https://www.gutenberg.org/files/863/863-0.txt
"Christie, Agatha",Poirot Investigates,https://www.gutenberg.org/files/61262/61262-0.txt
"Christie, Agatha",The Secret Adversary,https://www.gutenberg.org/files/1155/1155-0.txt
"London, Jack",The Call of the Wild,https://www.gutenberg.org/files/215/215-0.txt
"London, Jack",White Fang,https://www.gutenberg.org/cache/epub/910/pg910.txt
"London, Jack",The Sea-Wolf,https://www.gutenberg.org/files/1074/1074-0.txt
"London, Jack",The Valley of the Moon,https://www.gutenberg.org/files/1449/1449-0.txt
"London, Jack",The People of the Abyss,https://www.gutenberg.org/cache/epub/1688/pg1688.txt
"London, Jack",The Iron Heel,https://www.gutenberg.org/files/1164/1164-0.txt
"London, Jack",Martin Eden,https://www.gutenberg.org/cache/epub/1056/pg1056.txt
"Hugo, Victor",Les Miserables,https://www.gutenberg.org/files/135/135-0.txt
"Hugo, Victor",The Hunchback of Notre Dame,https://www.gutenberg.org/files/2610/2610-0.txt
"Hugo, Victor",Ninety Three,https://www.gutenberg.org/cache/epub/49372/pg49372.txt
"Hugo, Victor",Toilers of the Sea,https://www.gutenberg.org/files/32338/32338-0.txt
